"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"K9","RELAY_FINDER_40.61_+SUPPORT_95","5075mil","1148.819mil","5075mil","1162.599mil","4927.362mil","1640.945mil","T","0.00","RELAY_12VDC_1RT_BI_40.61.6"
"K10","RELAY_FINDER_40.61_+SUPPORT_95","6075mil","1148.819mil","6075mil","1162.599mil","5927.362mil","1640.945mil","T","0.00","RELAY_12VDC_1RT_BI_40.61.6"
"K11","RELAY_FINDER_40.61_+SUPPORT_95","6675mil","1148.819mil","6675mil","1162.599mil","6527.362mil","1640.945mil","T","0.00","RELAY_12VDC_1RT_BI_40.61.6"
"K14","RELAY_FINDER_40.61_+SUPPORT_95","8875mil","1148.819mil","8875mil","1162.599mil","8727.362mil","1640.945mil","T","0.00","RELAY_12VDC_1RT_BI_40.61.6"
"K15","RELAY_FINDER_40.61_+SUPPORT_95","9475mil","1148.819mil","9475mil","1162.599mil","9327.362mil","1640.945mil","T","0.00","RELAY_12VDC_1RT_BI_40.61.6"
"K1","RELAY_FINDER_34.51_+SUPPORT_93","422.244mil","1275.787mil","375mil","1215.748mil","422.244mil","1617.323mil","T","270.00","RELAY_12VDC_1RT_34.51"
"K2","RELAY_FINDER_34.51_+SUPPORT_93","1222.244mil","1275.787mil","1175mil","1215.748mil","1222.244mil","1617.323mil","T","270.00","RELAY_12VDC_1RT_34.51"
"K3","RELAY_FINDER_34.51_+SUPPORT_93","1622.244mil","1275.787mil","1575mil","1215.748mil","1622.244mil","1617.323mil","T","270.00","RELAY_12VDC_1RT_34.51"
"K16","RELAY_FINDER_34.51_+SUPPORT_93","10022.244mil","1275.787mil","9975mil","1215.748mil","10022.244mil","1617.323mil","T","270.00","RELAY_12VDC_1RT_34.51"
"K17","RELAY_FINDER_34.51_+SUPPORT_93","10422.244mil","1275.787mil","10375mil","1215.748mil","10422.244mil","1617.323mil","T","270.00","RELAY_12VDC_1RT_34.51"
"R45","0805_REFLOWSOLDERING_RES","6125mil","2193.75mil","6125mil","2193.75mil","6161mil","2193.75mil","T","180.00","RES_0805_1%_100PPM_10K"
"R46","0805_REFLOWSOLDERING_RES","6125mil","2093.75mil","6125mil","2093.75mil","6161mil","2093.75mil","T","180.00","RES_0805_1%_100PPM_10K"
"R34","0805_REFLOWSOLDERING_RES","4310mil","2360mil","4310mil","2360mil","4310mil","2396mil","T","270.00","RES_0805_1%_100PPM_10K"
"R12","0805_REFLOWSOLDERING_RES","4650mil","2310mil","4650mil","2310mil","4686mil","2310mil","T","180.00","RES_0805_1%_100PPM_10K"
"R9","0805_REFLOWSOLDERING_RES","4310mil","2770mil","4310mil","2770mil","4310mil","2806mil","T","270.00","RES_0805_1%_100PPM_10K"
"R16","0805_REFLOWSOLDERING_RES","4310mil","2565mil","4310mil","2565mil","4310mil","2601mil","T","270.00","RES_0805_1%_100PPM_10K"
"R21","0805_REFLOWSOLDERING_RES","4310mil","2975mil","4310mil","2975mil","4310mil","3011mil","T","270.00","RES_0805_1%_100PPM_10K"
